ID,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,Location
73389,ELEC,ComEd,2 Lincoln Center,,Oakbrook Terrace,IL,60181,,,E,,Private,,,,,,,10,,,Non-Networked,,200-9,41.845827,-87.985467,03/07/2022,02/15/2023 04:45:41 PM +0000,T,,,11/12/2013,,,,,"(41.845827, -87.985467)"
152341,ELEC,University of Illinois - 915 S Paulina St,915 S Paulina St,1st Floor||,Chicago,IL,60612,,888-998-2546,E,,Public,,,,,,,3,,,Blink Network,http://www.blinkcharging.com/,GPS,41.864575,-87.645374,04/12/2023,04/11/2023 07:01:37 PM +0000,,,,01/10/2020,,,,,"(41.864575, -87.645374)"
193397,ELEC,OIC PARKING OIC STATION 1,10255 W Higgins Rd,,Rosemont,IL,60018,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.995438,-87.882454,04/12/2023,04/11/2023 07:29:20 PM +0000,,,,07/31/2021,,,,,"(41.995438, -87.882454)"
200330,E85,Casey's General Store,311 S Kinzie Ave,,Bradley,IL,60915,,815-939-2247,E,,Public,24 hours daily,A Cash D Debit M V,,,,,,,,,,200-9,41.140532,-87.851305,04/06/2022,03/22/2023 04:21:09 PM +0000,P,,,11/01/2021,,,,false,"(41.140532, -87.851305)"
212968,ELEC,MOTORWERKS1475 EV2 MERCEDES,1475 S Barrington Rd,,Barrington,IL,60010,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.129171,-88.134755,04/12/2023,04/11/2023 07:21:45 PM +0000,,,,03/27/2022,,,,,"(42.129171, -88.134755)"
152083,E85,Casey's General Store,2040 S Eastwood Dr,,Woodstock,IL,60098,,815-0337-7657,E,,Public - Credit card at all times,24 hours daily,A D M V,,,,,,,,,,200-8,42.292921,-88.433404,04/06/2022,03/22/2023 04:21:09 PM +0000,P,,,01/03/2020,,,,false,"(42.292921, -88.433404)"
187184,E85,Murphy Express,16030 S Farrell Rd,,Lockport,IL,60441,,815-838-4208,E,,Public - Credit card at all times,24 hours daily,A Cash D Debit M V,,,,,,,,,,GPS,41.59495206229648,-88.02696554365541,09/14/2022,02/14/2023 09:54:11 AM +0000,P,,,09/13/2021,,,,true,"(41.59495206229648, -88.02696554365541)"
38068,E85,Thorntons #310,205 S US Highway 12,,Volo,IL,60073,,815-578-9085,E,,Public - Credit card at all times,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,GPS,42.324636,-88.164053,09/14/2022,02/14/2023 09:54:11 AM +0000,P,,,11/30/2010,,,,false,"(42.324636, -88.164053)"
237377,ELEC,COMED LC3-E-A,3 Lincoln Center,,Oakbrook Terrace,IL,60181,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.848027,-87.983121,04/12/2023,04/11/2023 07:07:00 PM +0000,,,,12/08/2022,,,,,"(41.848027, -87.983121)"
203872,BD,Casey's General Store,900 E Market St,,Somonauk,IL,60552,,815-498-3835,E,,Public,24 hours daily,A Cash D Debit M V,"B20 in summer, B5 in winter",,,,,,,,,200-8,41.63543,-88.670747,04/06/2022,03/22/2023 04:21:09 PM +0000,P,,,01/03/2022,,,,,"(41.63543, -88.670747)"
253559,ELEC,Water Tower Place DCFC,835 N Michigan Ave,,Chicago,IL,60611,,888-264-2208,E,,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 7:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,,,,,1,,Volta,https://voltacharging.com/,GPS,41.8981545,-87.6225114,04/12/2023,04/11/2023 08:29:40 PM +0000,,,,02/08/2023,,,,,"(41.8981545, -87.6225114)"
174385,ELEC,WOODMAN'S STORE 43 WEST,27555 IL RTE 120,,Lakemoor,IL,60051,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.32142,-88.16632,04/12/2023,04/11/2023 07:18:57 PM +0000,,,,01/27/2021,,,,,"(42.32142, -88.16632)"
237394,ELEC,COMED CND-F-W-01,3500 N California Ave,,Chicago,IL,60618,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.944702,-87.698833,04/12/2023,04/11/2023 07:07:59 PM +0000,,,,12/08/2022,,,,,"(41.944702, -87.698833)"
237481,ELEC,COMED CND-E-SW-03,3420 n California ave,,Chicago,IL,60618,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.943047,-87.69912,04/12/2023,04/11/2023 07:21:45 PM +0000,,,,12/08/2022,,,,,"(41.943047, -87.69912)"
151776,ELEC,Spring Hill Mall Barnes & Noble,1072 Spring Hill Mall,,West Dundee,IL,60118,,888-264-2208,E,,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,,,,2,,,Volta,https://voltacharging.com/,GPS,42.10305835,-88.29338415,04/12/2023,04/11/2023 08:29:02 PM +0000,,,,07/31/2015,,,,,"(42.10305835, -88.29338415)"
203106,ELEC,Grieger's Motor Sales,1756 Morthland Dr,,Valparaiso,IN,46385,,219-462-4117,E,,Public - Call ahead,"9am-7pm M-Fri, 9am-5pm Sat",,,,,,1,,,Non-Networked,,200-9,41.462524,-87.081909,01/10/2022,02/10/2022 01:42:29 PM +0000,P,,,11/15/2017,,,,,"(41.462524, -87.081909)"
250460,BD,Gurnee Truck Stop,36725 US Hwy 41,,Gurnee,IL,60031,,847-244-1655,E,,Public,24 hours daily,A APPLE_PAY Cash Comdata CREDIT D Debit EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp,B20-B11,,,,,,,,,GPS,42.39553009942614,-87.92798311904907,02/13/2023,02/14/2023 09:54:11 AM +0000,P,,,01/10/2023,,,,,"(42.39553009942614, -87.92798311904907)"
81664,E85,Thorntons #320,476 N York Rd,,Elmhurst,IL,60126,,630-415-3001,E,,Public - Credit card at all times,24 hours daily,A Cash D M Voyager Wright_Exp,,,,,,,,,,200-9,41.912437,-87.940365,09/14/2022,02/14/2023 09:54:11 AM +0000,P,,,02/15/2017,,,,true,"(41.912437, -87.940365)"
237432,ELEC,COMED ESC-E-N-02,2011 Swift Dr,,Oak Brook,IL,60523,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.850838,-87.920567,04/12/2023,04/11/2023 07:17:03 PM +0000,,,,12/08/2022,,,,,"(41.850838, -87.920567)"
47214,ELEC,Gerald Nissan,1575 W Ogden Ave,,Naperville,IL,60540,,630-355-3337,E,,Private,,,,,,,1,,,Non-Networked,,200-9,41.766972,-88.187306,03/07/2022,02/14/2023 09:54:11 AM +0000,P,,,01/31/2012,,,,,"(41.766972, -88.187306)"
